Block Name,Point ID,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude
internalMesh,0,8.08862,-0.00526077,-0.0398507,0.5,0.501613,7.3189e-08,4.56305e-07,1.33527,1.33527
internalMesh,1,8.08862,-0.00526077,-0.0320225,0.5,0.501052,1.01927e-07,5.61737e-07,1.56897,1.56897
internalMesh,2,8.08862,-0.00526077,-0.0320225,0.5,0.501052,1.01927e-07,5.61737e-07,1.56897,1.56897
internalMesh,3,8.08862,-0.00526077,-0.0240997,0.5,0.500608,1.31539e-07,5.80339e-07,1.7581,1.7581
internalMesh,4,8.08862,-0.00526077,-0.0240997,0.5,0.500608,1.31539e-07,5.80339e-07,1.7581,1.7581
internalMesh,5,8.08862,-0.00526077,-0.0161058,0.5,0.500287,1.55767e-07,4.83211e-07,1.89104,1.89104
internalMesh,6,8.08862,-0.00526077,-0.0161058,0.5,0.500287,1.55767e-07,4.83211e-07,1.89104,1.89104
internalMesh,7,8.08862,-0.00526077,-0.00806474,0.5,0.500093,1.72685e-07,2.76671e-07,1.97006,1.97006
internalMesh,8,8.08862,-0.00526077,-0.00806474,0.5,0.500093,1.72685e-07,2.76671e-07,1.97006,1.97006
internalMesh,9,8.08862,-0.00526077,-1.0828e-18,0.5,0.500028,1.80121e-07,2.21107e-09,1.99629,1.99629
internalMesh,10,8.08862,-0.00526077,-1.0828e-18,0.5,0.500028,1.80121e-07,2.21107e-09,1.99629,1.99629
internalMesh,11,8.08862,-0.00526077,0.00806474,0.5,0.500093,1.75961e-07,-2.73865e-07,1.97006,1.97006
internalMesh,12,8.08862,-0.00526077,0.00806474,0.5,0.500093,1.75961e-07,-2.73865e-07,1.97006,1.97006
internalMesh,13,8.08862,-0.00526077,0.0161058,0.5,0.500287,1.59804e-07,-4.84191e-07,1.89104,1.89104
internalMesh,14,8.08862,-0.00526077,0.0161058,0.5,0.500287,1.59804e-07,-4.84191e-07,1.89104,1.89104
internalMesh,15,8.08862,-0.00526077,0.0240997,0.5,0.500608,1.33571e-07,-5.8397e-07,1.7581,1.7581
internalMesh,16,8.08862,-0.00526077,0.0240997,0.5,0.500608,1.33571e-07,-5.8397e-07,1.7581,1.7581
internalMesh,17,8.08862,-0.00526077,0.0320225,0.5,0.501052,1.01634e-07,-5.64293e-07,1.56897,1.56897
internalMesh,18,8.08862,-0.00526077,0.0320225,0.5,0.501052,1.01634e-07,-5.64293e-07,1.56897,1.56897
internalMesh,19,8.08862,-0.00526077,0.0398507,0.5,0.501613,7.22199e-08,-4.56682e-07,1.33527,1.33527
internalMesh,20,8.08862,-0.00526077,0.0398507,0.5,0.501613,7.22199e-08,-4.56682e-07,1.33527,1.33527
internalMesh,21,8.08862,-0.00526077,0.0398507,0.5,0.501613,7.22199e-08,-4.56682e-07,1.33527,1.33527
internalMesh,22,8.08862,-0.00526077,-0.0457769,0.5,0.502119,4.307e-08,3.25682e-07,1.09901,1.09901
internalMesh,23,8.08862,-0.00526077,0.0457769,0.5,0.502119,4.27342e-08,-3.25279e-07,1.09901,1.09901
internalMesh,24,8.08862,-0.00526077,0.0457769,0.5,0.502119,4.27342e-08,-3.25279e-07,1.09901,1.09901
internalMesh,25,8.08862,-0.00526077,0.0517164,0.5,0.502695,2.3799e-08,-2.02631e-07,0.862942,0.862942
internalMesh,26,8.08862,-0.00526077,0.0517164,0.5,0.502695,2.3799e-08,-2.02631e-07,0.862942,0.862942
internalMesh,27,8.08862,-0.00526077,0.0576658,0.5,0.503342,1.10886e-08,-9.80223e-08,0.603085,0.603085
internalMesh,28,8.08862,-0.00526077,0.0576658,0.5,0.503342,1.10886e-08,-9.80223e-08,0.603085,0.603085
internalMesh,29,8.08862,-0.00526077,0.0636228,0.5,0.504059,3.7353e-09,-3.07277e-08,0.315725,0.315725
internalMesh,30,8.08862,-0.00526077,0.0636228,0.5,0.504059,3.7353e-09,-3.07277e-08,0.315725,0.315725
internalMesh,31,8.08862,-0.00526077,0.069586,0.5,0.504846,0,0,0,0
internalMesh,32,8.08862,-0.00526077,-0.0457769,0.5,0.502119,4.307e-08,3.25682e-07,1.09901,1.09901
internalMesh,33,8.08862,-0.00526077,-0.0457769,0.5,0.502119,4.307e-08,3.25682e-07,1.09901,1.09901
internalMesh,34,8.08862,-0.00526077,-0.0517164,0.5,0.502695,2.3676e-08,2.03471e-07,0.862942,0.862942
internalMesh,35,8.08862,-0.00526077,-0.0517164,0.5,0.502695,2.3676e-08,2.03471e-07,0.862942,0.862942
internalMesh,36,8.08862,-0.00526077,-0.0576658,0.5,0.503342,1.08972e-08,9.92834e-08,0.603085,0.603085
internalMesh,37,8.08862,-0.00526077,-0.0576658,0.5,0.503342,1.08972e-08,9.92834e-08,0.603085,0.603085
internalMesh,38,8.08862,-0.00526077,-0.0636228,0.5,0.504059,3.6792e-09,3.17322e-08,0.315725,0.315725
internalMesh,39,8.08862,-0.00526077,-0.0636228,0.5,0.504059,3.6792e-09,3.17322e-08,0.315725,0.315725
internalMesh,40,8.08862,-0.00526077,-0.069586,0.5,0.504846,0,0,0,0
