Block Name,Point ID,nut,nuTilda,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude
internalMesh,0,0,0,0.0148851,-0.0321362,0,0.9,0.900574,0.00198931,1.62981e-09,1.21806,1.21806
internalMesh,1,0,0,0.0148851,-0.0321362,0,0.9,0.900574,0.00198931,1.62981e-09,1.21806,1.21806
internalMesh,2,0,0,0.0148958,-0.0161592,0,0.9,0.900145,0.00100392,-2.85215e-09,1.21372,1.21372
internalMesh,3,0,0,0.0148958,-0.0161593,0,0.9,0.900145,0.00100392,-2.85216e-09,1.21372,1.21372
internalMesh,4,0,0,0.0148992,0,0,0.9,0.9,4.74396e-09,3.84175e-09,1.21277,1.21277
internalMesh,5,0,0,0.0148992,9.64526e-09,0,0.9,0.9,4.14459e-09,3.84175e-09,1.21277,1.21277
internalMesh,6,0,0,0.0148992,0,0,0.9,0.9,4.74396e-09,3.84175e-09,1.21277,1.21277
internalMesh,7,0,0,0.0148984,0.00809104,0,0.9,0.900036,-0.00050436,3.4925e-09,1.21301,1.21301
internalMesh,8,0,0,0.0148913,0.0241819,0,0.9,0.900325,-0.00149507,-1.16414e-10,1.21497,1.21497
internalMesh,9,0,0,0.0148913,0.0241818,0,0.9,0.900325,-0.00149507,-1.16407e-10,1.21497,1.21497
internalMesh,10,0,0,0.0148771,0.04,0,0.9,0.900888,-0.00247155,1.39697e-09,1.22607,1.22607
internalMesh,11,0,0,0.0148771,0.04,0,0.9,0.900888,-0.00247154,1.39698e-09,1.22607,1.22607
internalMesh,12,0,0,0.0148824,-0.0348008,0,0.9,0.900673,0.00215272,3.10671e-09,1.22078,1.22078
internalMesh,13,0,0,0.0148771,-0.04,0,0.9,0.900888,0.00247156,6.00266e-09,1.22607,1.22607
internalMesh,14,0,0,0.0148771,-0.04,0,0.9,0.900888,0.00247156,6.00265e-09,1.22607,1.22607
internalMesh,15,0,0,0.0148771,-0.04,0,0.9,0.900888,0.00247156,6.00266e-09,1.22607,1.22607
internalMesh,16,0,0,0.014888,-0.0284019,0,0.9,0.900448,0.00175728,-7.25833e-10,1.21661,1.21661
internalMesh,17,0,0,0.014888,-0.0284019,0,0.9,0.900448,0.00175728,-7.25829e-10,1.21661,1.21661
internalMesh,18,0,0,0.014888,-0.0284019,0,0.9,0.900448,0.00175728,-7.25825e-10,1.21661,1.21661
internalMesh,19,0,0,0.0148931,-0.0208988,0,0.9,0.900243,0.00129407,-3.17422e-09,1.21446,1.21446
internalMesh,20,0,0,0.0148913,-0.0241818,0,0.9,0.900325,0.00149506,-3.37967e-09,1.21497,1.21497
internalMesh,21,0,0,0.0148913,-0.0241819,0,0.9,0.900325,0.00149506,-3.37967e-09,1.21497,1.21497
internalMesh,22,0,0,0.0148979,-0.00964845,0,0.9,0.900052,0.000600797,2.48945e-10,1.21315,1.21315
internalMesh,23,0,0,0.0148979,-0.00964845,0,0.9,0.900052,0.000600796,2.48959e-10,1.21315,1.21315
internalMesh,24,0,0,0.0148979,-0.00964844,0,0.9,0.900052,0.000600796,2.48963e-10,1.21315,1.21315
internalMesh,25,0,0,0.0148992,0,0,0.9,0.9,4.71486e-09,3.87086e-09,1.21277,1.21277
internalMesh,26,0,0,0.0148984,-0.00809103,0,0.9,0.900036,0.000504368,9.96856e-10,1.21301,1.21301
internalMesh,27,0,0,0.0148984,-0.00809104,0,0.9,0.900036,0.000504369,9.96844e-10,1.21301,1.21301
internalMesh,28,0,0,0.0148979,0.00956919,0,0.9,0.900051,-0.000595881,2.87829e-09,1.21314,1.21314
internalMesh,29,0,0,0.0148979,0.00956919,0,0.9,0.900051,-0.000595881,2.87829e-09,1.21314,1.21314
internalMesh,30,0,0,0.0148979,0.0095692,0,0.9,0.900051,-0.000595882,2.87827e-09,1.21314,1.21314
internalMesh,31,0,0,0.014893,0.0211404,0,0.9,0.900248,-0.00130887,-2.98977e-11,1.2145,1.2145
internalMesh,32,0,0,0.0148958,0.0161593,0,0.9,0.900145,-0.00100392,1.23699e-10,1.21372,1.21372
internalMesh,33,0,0,0.0148958,0.0161592,0,0.9,0.900145,-0.00100391,1.23713e-10,1.21372,1.21372
internalMesh,34,0,0,0.014888,0.0283898,0,0.9,0.900448,-0.00175654,9.34808e-10,1.21661,1.21661
internalMesh,35,0,0,0.014888,0.0283898,0,0.9,0.900448,-0.00175654,9.34805e-10,1.21661,1.21661
internalMesh,36,0,0,0.014888,0.0283898,0,0.9,0.900448,-0.00175654,9.34801e-10,1.21661,1.21661
internalMesh,37,0,0,0.0148825,0.0347035,0,0.9,0.900669,-0.00214676,1.71329e-09,1.22068,1.22068
internalMesh,38,0,0,0.0148851,0.0321362,0,0.9,0.900574,-0.00198933,1.87719e-09,1.21806,1.21806
internalMesh,39,0,0,0.0148851,0.0321362,0,0.9,0.900574,-0.00198933,1.87719e-09,1.21806,1.21806
internalMesh,40,0,0,0.0148686,0.046,0,0.9,0.901175,-0.00282715,6.40276e-10,1.22942,1.22942
internalMesh,41,0,0,0.0148686,0.046,0,0.9,0.901175,-0.00282715,6.40278e-10,1.22942,1.22942
internalMesh,42,0,0,0.0148686,0.046,0,0.9,0.901175,-0.00282715,6.40283e-10,1.22942,1.22942
internalMesh,43,0,0,0.0148587,0.052,0,0.9,0.901501,-0.00273292,-4.94765e-10,1.17792,1.17792
internalMesh,44,0,0,0.0148587,0.052,0,0.9,0.901501,-0.00273292,-4.94764e-10,1.17792,1.17792
internalMesh,45,0,0,0.0148503,0.058,0,0.9,0.901867,-0.00179896,-2.50293e-09,0.977327,0.977329
internalMesh,46,0,0,0.014844,0.0635714,0,0.9,0.902242,-0.00060283,-3.97504e-09,0.59509,0.59509
internalMesh,47,0,0,0.014844,0.0635714,0,0.9,0.902242,-0.000602829,-3.97504e-09,0.59509,0.59509
internalMesh,48,0,0,0.014844,0.0635714,0,0.9,0.902242,-0.000602829,-3.97504e-09,0.59509,0.59509
internalMesh,49,0,0,0.0148435,0.064,0,0.9,0.902273,-0.000510819,-4.08863e-09,0.565687,0.565687
internalMesh,50,1.06375e-12,0,0.0148435,0.064,0,0.9,0.902273,-0.000510818,-4.08863e-09,0.565686,0.565686
internalMesh,51,8.99949e-07,0,0.0148391,0.07,0,0.9,0.902718,0,0,0,0
internalMesh,52,0,0,0.0148686,-0.046,0,0.9,0.901175,0.00282716,6.40283e-09,1.22942,1.22942
internalMesh,53,0,0,0.0148686,-0.046,0,0.9,0.901175,0.00282716,6.40283e-09,1.22942,1.22942
internalMesh,54,0,0,0.0148587,-0.052,0,0.9,0.901501,0.00273292,5.61703e-09,1.17792,1.17792
internalMesh,55,0,0,0.0148587,-0.052,0,0.9,0.901501,0.00273292,5.61703e-09,1.17792,1.17792
internalMesh,56,0,0,0.0148503,-0.058,0,0.9,0.901867,0.00179897,5.99538e-09,0.977327,0.977329
internalMesh,57,0,0,0.0148503,-0.058,0,0.9,0.901867,0.00179897,5.99538e-09,0.977327,0.977329
internalMesh,58,0,0,0.0148435,-0.064,0,0.9,0.902273,0.000510822,7.85075e-09,0.565687,0.565687
internalMesh,59,8.99948e-07,0,0.0148391,-0.07,0,0.9,0.902718,5.99049e-10,2.51534e-16,6.711e-07,6.711e-07
internalMesh,60,8.99949e-07,0,0.0148391,-0.07,0,0.9,0.902718,0,0,0,0
internalMesh,61,8.99949e-07,0,0.0148391,-0.07,0,0.9,0.902718,0,0,0,0
internalMesh,62,8.99949e-07,0,0.0148391,-0.07,0,0.9,0.902718,0,0,0,0
